117,149900,1/9/2019,Listed
117,42000,11/28/2011,Sold
117,40000,11/19/2011,Price Changed
117,49000,9/9/2011,Price Changed
117,54000,8/23/2011,Listed
117,70000,7/1/2011,Listed
117,124900,5/31/2011,Sold
117,139900,3/5/2009,Price Changed
118,145000,11/16/2018,Listed
118,35000,10/12/2015,Sold
118,36575,6/19/2015,Sold
118,51940,4/3/2015,Listed
118,81000,12/26/2003,Sold
118,65000,12/21/2000,Sold
119,147000,12/17/2018,Listed
119,184000,9/11/2006,Sold
119,189900,9/7/2006,Listed
119,189900,7/7/2006,Listed
119,212900,5/17/2006,Listed
119,219900,1/9/2006,Listed
119,229900,10/6/2005,Listed
119,145000,7/23/2002,Sold
120,154900,2/6/2019,Price Changed
120,163000,11/29/2018,Listed
120,21400,6/8/2012,Sold
120,155000,3/5/2007,Sold
121,154900,2/8/2019,Price Changed
121,159900,10/25/2018,Listed
121,54639,8/26/2016,Sold
121,61500,6/30/2016,Listed
121,120500,1/19/2005,Sold
121,84000,7/3/2000,Sold
121,36500,8/11/1995,Sold
122,149900,1/23/2019,Listed
122,114000,1/22/2004,Sold
122,25900,3/31/1992,Sold
123,145000,9/19/2018,Listed
123,160000,1/26/2005,Sold
123,24000,8/13/1993,Sold
124,148400,2/5/2019,Price Changed
124,149900,12/26/2018,Listed
124,70000,11/7/2008,Sold
124,152000,4/18/2005,Sold
124,103100,6/8/2004,Sold
124,65352,12/18/2001,Sold
124,54000,1/26/2000,Sold
125,145900,2/1/2019,Listed
125,45900,10/14/2008,Sold
125,189900,9/26/2006,Sold
125,149000,3/31/2005,Sold
126,149900,1/30/2019,Listed
126,35500,12/19/2012,Sold
126,43900,11/26/2012,Price Changed
126,49500,10/8/2012,Listed
126,128750,9/19/2002,Sold
126,52000,12/14/1995,Sold
126,27000,1/26/1994,Sold
127,154900,12/21/2018,Listed
127,169900,5/3/2018,Price Changed
127,184900,6/1/2017,Listed
128,150000,1/28/2019,Listed
129,154900,1/14/2019,Listed
129,75000,6/30/2009,Sold
129,78900,4/4/2009,Price Changed
129,92900,3/5/2009,Price Changed
129,124900,1/21/2009,Listed
129,170000,4/28/2006,Sold
130,145500,1/31/2019,Listed
130,126000,11/7/2017,Sold
130,134900,1/7/2017,Listed
130,129900,9/1/2016,Listed
130,129900,7/27/2016,Price Changed
130,134900,6/20/2016,Listed
130,134900,6/17/2016,Relisted
130,134900,5/26/2016,Price Changed
131,147000,2/2/2019,Price Changed
131,150000,1/25/2019,Relisted
131,150000,11/15/2018,Relisted
131,150000,11/6/2018,Relisted
131,119900,9/7/2006,Sold
131,119900,7/21/2006,Sold
131,121900,6/23/2006,Listed
132,149500,1/21/2019,Price Changed
132,155000,11/27/2018,Listed
133,152000,1/17/2019,Price Changed
133,155000,11/25/2018,Listed
133,142600,11/13/2018,Sold
134,150000,1/22/2019,Listed
134,123900,5/23/2002,Sold
134,111500,7/24/2001,Sold
134,97000,1/4/2000,Sold
135,150000,12/28/2018,Listed
135,102000,12/22/2010,Sold
135,108000,10/27/2010,Listed
135,44000,11/3/1992,Sold
136,148000,2/1/2019,Listed
137,153000,1/9/2019,Price Changed
137,155000,11/12/2018,Price Changed
137,159000,10/16/2018,Price Changed
137,165000,10/13/2018,Price Changed
137,170000,10/5/2018,Listed
137,159900,9/25/2017,Sold
137,159900,9/19/2017,Sold
137,165000,7/21/2017,Listed
138,149900,2/6/2019,Price Changed
138,155000,1/24/2019,Listed
139,150000,1/6/2019,Listed
139,144900,8/15/2016,Price Changed
139,149900,7/8/2016,Relisted
139,114800,4/14/2014,Sold
139,122900,3/7/2014,Price Changed
139,132900,2/3/2014,Price Changed
139,142900,1/3/2014,Price Changed
139,149900,11/25/2013,Price Changed
140,146000,1/9/2019,Price Changed
140,150000,12/2/2018,Listed
140,149000,2/2/2017,Sold
140,149000,11/20/2016,Listed
140,58811,9/29/2016,Sold
140,56700,9/15/2016,Sold
140,78000,6/6/2011,Sold
140,79900,5/19/2011,Price Changed
141,149900,1/30/2019,Relisted
141,149900,1/14/2019,Price Changed
141,159900,12/20/2018,Listed
141,58200,7/6/2018,Sold
142,145000,1/3/2019,Price Changed
142,145,12/19/2018,Listed
142,145000,11/28/2017,Price Changed
142,149900,11/5/2017,Listed
142,44512,9/29/1997,Sold
142,49400,11/29/1993,Sold
143,150000,12/3/2018,Listed
